variable,1 - 0,1,0,all_mean,categories,display_names,Count
people_NS_SeC_never_worked,2.112441926,16.15744681,4.08807947,5.713467049,Economic,people_NS_SeC_never_worked,24
females_NS_SeC_never_worked_long_term_unemployed,1.983896716,12.74680851,3.438410596,4.691977077,Economic,females_NS_SeC_never_worked_long_term_unemployed,25
other_establishments,1.983360425,10.98723404,2.964569536,4.044985673,Environmental,other_establishments,26
males_unemployed_never_worked,1.948284923,1.563829787,0.429470199,0.582234957,Economic,males_unemployed_never_worked,27
males_NS_SeC_never_worked,1.924446253,5.906382979,1.641721854,2.216045845,Economic,males_NS_SeC_never_worked,28
country_of_birth_United_Kingdom_not_otherwise_specified,1.889298977,0.117021277,0.033112583,0.044412607,Demographic,people_country_of_birth_United_Kingdom_not_otherwise_specified,29
males_industry_agriculture_forestry_fishing,1.873015939,1.263829787,0.360596026,0.482234957,Economic,males_industry_agriculture_forestry_fishing,30
people_industry_agriculture_forestry_fishing,1.86465529,1.808510638,0.518211921,0.691977077,Economic,people_industry_agriculture_forestry_fishing,31
females_industry_agriculture_forestry_fishing,1.84543265,0.544680851,0.157615894,0.20974212,Economic,females_industry_agriculture_forestry_fishing,32
males_ecominically_inactive_other,1.844830579,4.982978723,1.442384106,1.919197708,Economic,males_ecominically_inactive_other,33
people_NS_SeC_never_worked_long_term_unemployed,1.830522885,22.09361702,6.442384106,8.550143266,Economic,people_NS_SeC_never_worked_long_term_unemployed,34
ethnicty_mixed_white_black_Caribbean,1.745205603,7.578723404,2.309602649,3.019197708,Demographic,people_ethnicty_mixed_white_black_Caribbean,35
religion_Sikh,1.667460957,2.093617021,0.664569536,0.857020057,Demographic,people_religion_Sikh,36
ethnicty_other_other,1.665830456,2.570212766,0.816556291,1.052722063,Demographic,people_ethnicty_other_other,37
people_ecominically_inactive_other,1.644577469,9.834042553,3.159602649,4.058452722,Economic,people_ecominically_inactive_other,38
males_NS_SeC_never_worked_long_term_unemployed,1.644002536,9.346808511,3.00397351,3.858166189,Economic,males_NS_SeC_never_worked_long_term_unemployed,39
usual_residents_by_communal_establishment_management_and_type,1.54508559,15.64255319,5.300662252,6.693409742,Environmental,usual_residents_by_communal_establishment_management_and_type,40
lives_in_communal_establishment,1.54508559,15.64255319,5.300662252,6.693409742,Economic,people_live_in_communal_establishment,41
lives_in_a_communal_establishment,1.54508559,15.64255319,5.300662252,6.693409742,Economic,people_live_in_a_communal_establishment,42
1_person_household_lone_parent_2_plus_dependent_children,1.543794981,33.11276596,11.22847682,14.1756447,Social,households_1_person_lone_parent_2_plus_dependent_children,43
male_lone_parent_part_time_employment,1.471574155,0.359574468,0.126821192,0.158166189,Social,households_male_lone_parent_part_time_employment,44
other_household_no_adults_or_1_adult_and_1_plus_children,1.471093498,40.48510638,14.28278146,17.81146132,Social,households_other_no_adults_or_1_adult_and_1_plus_children,45
households_occupancy_rating_bedrooms_of_minus_1_or_less,1.466392294,10.18085106,3.600993377,4.487106017,Social,households_occupancy_rating_bedrooms_of_minus_1_or_less,46
females_ecominically_inactive_other,1.464923661,4.85106383,1.717218543,2.139255014,Economic,females_ecominically_inactive_other,47
males_ecominically_inactive_long_term_sick_or_disabled,1.401681796,9.580851064,3.512251656,4.329512894,Economic,males_ecominically_inactive_long_term_sick_or_disabled,48
1_person_households_lone_parent_2_plus_dependent_children,1.389889066,8.69787234,3.209602649,3.948710602,Social,people_1_person_households_lone_parent_2_plus_dependent_children,49
other_households_no_adults_or_1_adult_and_1_plus_children,1.357521499,14.67021277,5.512582781,6.745845272,Social,households_other_no_adults_or_1_adult_and_1_plus_children,50
people_ecominically_inactive_long_term_sick_or_disabled,1.311202385,17.16382979,6.620860927,8.040687679,Economic,people_ecominically_inactive_long_term_sick_or_disabled,51
males_ecominically_inactive_looking_after_home_or_family,1.297138045,1.480851064,0.575827815,0.697707736,Economic,males_ecominically_inactive_looking_after_home_or_family,52
male_lone_parent,1.284414267,2.025531915,0.793377483,0.959312321,Social,households_male_lone_parent,53
lone_parent_households_dependent_children,1.267461703,20.47446809,8.098013245,9.764756447,Social,households_lone_parent_dependent_children,54
males_NS_SeC_long_term_unemployed,1.265542982,3.440425532,1.362251656,1.642120344,Economic,males_NS_SeC_long_term_unemployed,55
males_unemployed_long_term_unemployed,1.265542982,3.440425532,1.362251656,1.642120344,Economic,males_unemployed_long_term_unemployed,56
people_NS_SeC_long_term_unemployed,1.262698067,5.936170213,2.354304636,2.836676218,Economic,people_NS_SeC_long_term_unemployed,57
people_unemployed_long_term_unemployed,1.262698067,5.936170213,2.354304636,2.836676218,Economic,people_unemployed_long_term_unemployed,58
other_household_2_plus_dependent_children,1.259851999,13.21489362,5.249668874,6.32234957,Social,households_other_2_plus_dependent_children,59
females_unemployed_long_term_unemployed,1.258787248,2.495744681,0.99205298,1.194555874,Economic,females_unemployed_long_term_unemployed,60
females_NS_SeC_long_term_unemployed,1.258787248,2.495744681,0.99205298,1.194555874,Economic,females_NS_SeC_long_term_unemployed,61
one_family_household_lone_parent_dependent_children,1.25347283,18.74468085,7.47384106,8.991690544,Social,households_one_family_lone_parent_dependent_children,62
lone_parent_dependent_children,1.252973011,18.62553191,7.428476821,8.936389685,Social,households_lone_parent_dependent_children,63
female_lone_parent,1.249191929,16.6,6.635099338,7.977077364,Social,households_female_lone_parent,64
ethnicity_white_gypsy_Irish_traveller,1.247890508,0.514893617,0.205960265,0.24756447,Demographic,people_ethnicity_white_gypsy_Irish_traveller,65
age_of_HRP_65_plus_2_person_household_dependent_children,1.229693601,0.676595745,0.273509934,0.327793696,Social,people_age_of_HRP_65_plus_2_person_household_dependent_children,66
females_unemployed_age_16_to_24,1.224314676,1.591489362,0.645364238,0.77277937,Economic,females_unemployed_age_16_to_24,67
ethnicty_other,1.217695074,3.421276596,1.392715232,1.665902579,Demographic,people_ethnicty_other,68
females_ecominically_inactive_long_term_sick_or_disabled,1.205647729,7.582978723,3.108609272,3.711174785,Economic,females_ecominically_inactive_long_term_sick_or_disabled,69
other_households_2_plus_dependent_children,1.200106875,2.393617021,0.984437086,1.174212034,Social,people_other_households_2_plus_dependent_children,70
people_unemployed_age_16_to_24,1.168338626,4.261702128,1.785761589,2.119197708,Economic,people_unemployed_age_16_to_24,71
1_person_household_lone_parent,1.158917958,66.78085106,28.13907285,33.34297994,Social,households_1_person_lone_parent,72
1_person_households_lone_parent_1_dependent_child,1.146657366,10.04680851,4.264238411,5.042979943,Social,people_1_person_households_lone_parent_1_dependent_child,73
ethnicty_asian,1.139510008,21.11702128,9.000993377,10.63266476,Demographic,people_ethnicty_asian,74
males_unemployed_age_16_to_24,1.136211066,2.670212766,1.140397351,1.346418338,Economic,males_unemployed_age_16_to_24,75
1_person_household_lone_parent_1_dependent_child,1.132861384,21.53191489,9.214238411,10.8730659,Social,households_1_person_lone_parent_1_dependent_child,76
country_of_birth_other,1.116921925,37.57659574,16.23410596,19.10830946,Demographic,people_country_of_birth_other,77
households_main_language_no_age_16_plus_English_no_age_3_to_15_English,1.074026472,7.872340426,3.490066225,4.080229226,Demographic,households_main_language_no_age_16_plus_English_no_age_3_to_15_English,78
household_living_rent_free,1.062293988,3.15106383,1.406953642,1.641833811,Social,households_living_rent_free,79
males_unemployed,1.057630458,8.989361702,4.025165563,4.693696275,Economic,males_unemployed,80
1_person_households_lone_parent,1.038522649,24.26808511,10.99403974,12.78166189,Social,people_1_person_households_lone_parent,81
one_family_household_lone_parent,1.038522649,24.26808511,10.99403974,12.78166189,Social,households_one_family_lone_parent,82
ethnicty_mixed,1.036429809,13.06382979,5.925827815,6.887106017,Demographic,people_ethnicty_mixed,83
age_of_HRP_35_less_2_person_household_dependent_children,1.032569707,16.76382979,7.62218543,8.853295129,Social,people_age_of_HRP_35_less_2_person_household_dependent_children,84
people_unemployed,1.032061298,14.68297872,6.678145695,7.756160458,Economic,people_unemployed,85
age_25_to_34_youngest_dependent_child_age_5_to_10,1.019711313,4.736170213,2.170529801,2.516045845,Social,people_age_25_to_34_youngest_dependent_child_age_5_to_10,86
flat_maisonette_or_apartment_block_of_flats_or_tenemen,1.014304378,38.26595745,17.59536424,20.37908309,Environmental,flat_maisonette_or_apartment_block_of_flats_or_tenemen,87
disability_daily_activities_limited_a_lot_age_16_to_64,1.007840473,18.10425532,8.35794702,9.670487106,Demographic,people_disability_daily_activities_limited_a_lot_age_16_to_64,88
females_unemployed,0.992872637,5.693617021,2.652980132,3.062464183,Economic,females_unemployed,89
age_25_to_34_youngest_dependent_child_age_11_to_15,0.987726688,1.178723404,0.550993377,0.635530086,Social,people_age_25_to_34_youngest_dependent_child_age_11_to_15,90
people_ecominically_inactive_looking_after_home_or_family,0.96201779,14.79148936,7.02615894,8.071919771,Economic,people_ecominically_inactive_looking_after_home_or_family,91
females_ecominically_inactive_looking_after_home_or_family,0.930310539,13.3106383,6.450331126,7.374212034,Economic,females_ecominically_inactive_looking_after_home_or_family,92
age_65_to_74_dependent_children,0.923938926,1.127659574,0.548675497,0.626647564,Social,people_age_65_to_74_dependent_children,93
households_no_cars_no_vans,0.921762372,50.56382979,24.63642384,28.12808023,Social,households_no_cars_no_vans,94
other_household_types_dependent_children,0.921090203,4.39787234,2.143708609,2.447277937,Social,households_other_types_dependent_children,95
very_bad_health,0.914413169,6.087234043,2.979801325,3.398280802,Demographic,people_very_bad_health,96
household_social_rented_other,0.913015101,16.53829787,8.102980132,9.238968481,Social,households_social_rented_other,97
ethnicty_mixed_white_black_African,0.909115305,1.268085106,0.622847682,0.70974212,Demographic,people_ethnicty_mixed_white_black_African,98
nationality_other_only,0.90707959,35.38085106,17.40066225,19.82206304,Demographic,people_nationality_other_only,99
ethnicty_asian_other,0.868920595,3.763829787,1.897019868,2.148424069,Demographic,people_ethnicty_asian_other,100
households_with_one_person_with_long_term_health_problem_or_disability_dependent_children,0.828727443,9.293617021,4.808278146,5.412320917,Social,households_one_person_long_term_health_problem_or_disability_dependent_children,101
medical_and_care_establishment_other_care_home_with_nursing,0.808568879,1.840425532,0.964900662,1.082808023,Environmental,medical_and_care_establishment_other_care_home_with_nursing,102
females_NS_SeC_routine,0.80383541,14.95319149,7.864238411,8.818911175,Economic,females_NS_SeC_routine,103
full_time_students_age_18_to_74_economically_active_unemployed,0.799547682,2.155319149,1.136754967,1.273925501,Economic,full_time_students_age_18_to_74_economically_active_unemployed,104
households_occupancy_rating_rooms_of_minus_1_or_less,0.792835185,18.42978723,9.763576159,10.93065903,Social,households_occupancy_rating_rooms_of_minus_1_or_less,105
ethnicty_mixed_other,0.76265545,2.355319149,1.273178808,1.418911175,Demographic,people_ethnicty_mixed_other,106
lone_parent_part_time_employment,0.754151726,5.374468085,2.921854305,3.252148997,Social,households_lone_parent_part_time_employment,107
bad_health,0.747572449,19.21489362,10.49271523,11.66733524,Demographic,people_bad_health,108
people_NS_SeC_routine,0.745523035,36.43829787,19.92549669,22.14928367,Economic,people_NS_SeC_routine,109
people_no_qualifications,0.726983742,78.31489362,43.36655629,48.0730659,Economic,people_no_qualifications,110
age_25_to_34_youngest_dependent_child_age_16_to_18,0.726400962,0.357446809,0.198013245,0.219484241,Social,people_age_25_to_34_youngest_dependent_child_age_16_to_18,111
female_lone_parent_part_time_employment,0.717476677,5.014893617,2.795033113,3.093982808,Social,households_female_lone_parent_part_time_employment,112
ethnicty_asian_Indian,0.708138554,5.165957447,2.897682119,3.203151862,Demographic,people_ethnicty_asian_Indian,113
males_NS_SeC_routine,0.706945594,21.48510638,12.06125828,13.33037249,Economic,males_NS_SeC_routine,114
age_18,0.684900107,6.546808511,3.731456954,4.110601719,Demographic,people_age_18,115
other_household_2_adults_and_3_plus_children,0.667346777,26.43829787,15.25364238,16.75988539,Social,households_other_2_adults_and_3_plus_children,116
other_households_1_dependent_child,0.663739241,2.004255319,1.159271523,1.273065903,Social,people_other_households_1_dependent_child,117
people_not_living_in_a_couple_married_or_in_a_registered_same_sex_civil_partnership,0.662344369,4.744680851,2.747019868,3.016045845,Social,people_not_living_in_a_couple_married_or_in_a_registered_same_sex_civil_partnership,118
not_living_in_couple_married_or_registered_same_sex_civil_partnership,0.662344369,4.744680851,2.747019868,3.016045845,Social,people_not_living_in_couple_married_or_registered_same_sex_civil_partnership,119
age_18_to_19,0.647805644,14.34468085,8.390066225,9.191977077,Demographic,people_age_18_to_19,120
people_not_living_in_a_couple_separated_but_still_legally_married_or_still_legally_in_a_same_sex_civil_partnership,0.645836007,7.087234043,4.150993377,4.546418338,Social,people_not_living_in_a_couple_separated_but_still_legally_married_or_still_legally_in_a_same_sex_civil_partnership,121
not_living_in_couple_separated_but_still_legally_married_or_still_legally_in_a_same_sex_civil_partnership,0.645836007,7.087234043,4.150993377,4.546418338,Social,people_not_living_in_couple_separated_but_still_legally_married_or_still_legally_in_a_same_sex_civil_partnership,122
disability_daily_activities_limited_a_lot,0.624762459,36.20425532,21.52251656,23.49971347,Demographic,people_disability_daily_activities_limited_a_lot,123
age_19,0.617797909,7.79787234,4.658609272,5.081375358,Demographic,people_age_19,124
other_household_1_dependent_child,0.6170796,7.840425532,4.686423841,5.111174785,Social,households_other_1_dependent_child,125
age_0,0.615335136,6.017021277,3.600993377,3.926361032,Demographic,people_age_0,126
shared_dwellings_two_household_spaces,0.615086634,0.082978723,0.049668874,0.054154728,Environmental,dwellings_shared_two_household_spaces,127
age_2,0.611137364,5.831914894,3.500662252,3.814613181,Demographic,people_age_2,128
country_of_birth_other_EU_accession_countries_April_2001_to_March_2011,0.600611845,8.293617021,5.01589404,5.45730659,Demographic,people_country_of_birth_other_EU_accession_countries_April_2001_to_March_2011,129
separated,0.599805028,8.631914894,5.223509934,5.68252149,Social,people_separated,130
other_households_2_adults_and_3_plus_children,0.599678832,4.817021277,2.915231788,3.171346705,Social,households_other_2_adults_and_3_plus_children,131
age_16_to_24_dependent_children,0.576778682,22.78723404,14.01986755,15.20057307,Social,people_age_16_to_24_dependent_children,132
age_1,0.570097777,5.723404255,3.538410596,3.832664756,Demographic,people_age_1,133
age_0_to_4,0.567731548,28.39361702,17.58410596,19.03982808,Demographic,people_age_0_to_4,134
nationality_Irish_Northern_Irish_other,0.560603072,0.006382979,0.00397351,0.004297994,Demographic,people_nationality_Irish_Northern_Irish_other,135
lone_parent_households_no_dependent_children,0.550871737,6.193617021,3.883112583,4.194269341,Social,households_lone_parent_no_dependent_children,136
1_family_only_household_cohabiting_couple_all_children_not_dependent,0.541147808,2.59787234,1.640397351,1.769340974,Social,households_1_family_only_cohabiting_couple_all_children_not_dependent,137
age_4,0.538390804,5.387234043,3.408609272,3.675071633,Demographic,people_age_4,138
age_5,0.538261421,5.129787234,3.24602649,3.499713467,Demographic,people_age_5,139
males_occupation_elementary,0.536331178,12.72553191,8.063907285,8.691690544,Economic,males_occupation_elementary,140
1_person_household_lone_parent_all_children_not_dependent,0.535286764,12.13617021,7.696357616,8.294269341,Social,households_1_person_lone_parent_all_children_not_dependent,141
one_family_household_lone_parent_no_dependent_children,0.528554281,5.523404255,3.520198675,3.789971347,Social,households_one_family_lone_parent_no_dependent_children,142
1_person_households_lone_parent_all_children_not_dependent,0.528554281,5.523404255,3.520198675,3.789971347,Social,people_1_person_households_lone_parent_all_children_not_dependent,143
age_6,0.52721334,4.825531915,3.078476821,3.313753582,Demographic,people_age_6,144
one_family_household_cohabiting_couple_no_dependent_children,0.524981435,0.782978723,0.500331126,0.538395415,Social,households_one_family_cohabiting_couple_no_dependent_children,145
1_family_only_households_cohabiting_couple_all_children_not_dependent,0.524981435,0.782978723,0.500331126,0.538395415,Social,people_1_family_only_households_cohabiting_couple_all_children_not_dependent,146
people_occupation_elementary,0.523688181,23.03617021,14.73443709,15.85243553,Economic,people_occupation_elementary,147
females_occupation_elementary,0.508342149,10.3106383,6.670529801,7.160744986,Economic,females_occupation_elementary,148
1_adult_in_household,0.502696169,46.83191489,30.42615894,32.63553009,Social,households_1_adult_in,149
age_5_to_7,0.501820985,14.47021277,9.407284768,10.08911175,Demographic,people_age_5_to_7,150
age_3,0.500805396,5.434042553,3.535430464,3.791117479,Demographic,people_age_3,151
households_with_dependent_children_age_0_to_4,0.500122623,21.24893617,13.83178808,14.83065903,Social,households_dependent_children_age_0_to_4,152
1_family_only_household_cohabiting_couple_2_plus_dependent_children,0.493432841,16.03617021,10.4910596,11.23782235,Social,households_1_family_only_cohabiting_couple_2_plus_dependent_children,153
total_communal_establishments,0.492124979,0.491489362,0.321854305,0.34469914,Environmental,total_communal_establishments,154
males_unemployed_age_50_to_74,0.488727122,1.353191489,0.888410596,0.951002865,Economic,males_unemployed_age_50_to_74,155
provides_50_plus_hours_unpaid_care_per_week,0.48533917,9.082978723,5.978476821,6.396561605,Social,people_provide_50_plus_hours_unpaid_care_per_week,156
disability_daily_activities_limited_a_little_age_16_to_64,0.482842075,19.42978723,12.81291391,13.70401146,Demographic,people_disability_daily_activities_limited_a_little_age_16_to_64,157
other_household_3_plus_adults_and_1_plus_children,0.481013362,37.96808511,25.07251656,26.80916905,Social,households_other_3_plus_adults_and_1_plus_children,158
people_highest_level_of_qualification_other,0.478814089,15.61276596,10.32715232,11.03896848,Economic,people_highest_level_of_qualification_other,159
males_NS_SeC_semi_routine,0.466568422,15.55531915,10.38509934,11.08137536,Economic,males_NS_SeC_semi_routine,160
age_25_to_34_youngest_dependent_child_age_0_to_4,0.459885903,16.50425532,11.07483444,11.80601719,Social,people_age_25_to_34_youngest_dependent_child_age_0_to_4,161
people_unemployed_age_50_to_74,0.452480442,1.993617021,1.345364238,1.432664756,Economic,people_unemployed_age_50_to_74,162
ethnicty_other_Arab,0.448326198,0.85106383,0.57615894,0.613180516,Demographic,people_ethnicty_other_Arab,163
provides_20_to_49_hours_unpaid_care_per_week,0.44658999,5.082978723,3.445695364,3.666189112,Social,people_provide_20_to_49_hours_unpaid_care_per_week,164
age_7,0.437200091,4.514893617,3.082781457,3.275644699,Demographic,people_age_7,165
age_12,0.43544897,4.636170213,3.16986755,3.367335244,Demographic,people_age_12,166
male_lone_parent_full_time_employment,0.424979841,0.674468085,0.464900662,0.493123209,Social,households_male_lone_parent_full_time_employment,167
1_family_only_households_cohabiting_couple_2_plus_dependent_children,0.424064765,3.465957447,2.390728477,2.535530086,Social,people_1_family_only_households_cohabiting_couple_2_plus_dependent_children,168
households_main_language_some_age_16_plus_English,0.422947242,4.738297872,3.271192053,3.468767908,Demographic,households_main_language_some_age_16_plus_English,169
nationality_Cornish_British_only,0.414095444,0.031914894,0.02218543,0.023495702,Demographic,people_nationality_Cornish_British_only,170
age_8,0.412576876,4.287234043,2.983774834,3.159312321,Demographic,people_age_8,171
age_10,0.405694114,4.344680851,3.040066225,3.215759312,Demographic,people_age_10,172
people_NS_SeC_semi_routine,0.390973154,41.30425532,29.23774834,30.86275072,Economic,people_NS_SeC_semi_routine,173
country_of_birth_other_EU,0.390658841,13.83404255,9.795033113,10.33896848,Demographic,people_country_of_birth_other_EU,174
age_16,0.384223709,4.725531915,3.362913907,3.546418338,Demographic,people_age_16,175
households_with_one_person_with_long_term_health_problem_or_disability,0.381461564,42.55106383,30.34768212,31.99111748,Social,households_one_person_with_long_term_health_problem_or_disability,176
females_unemployed_age_50_to_74,0.380914274,0.640425532,0.456953642,0.481661891,Economic,females_unemployed_age_50_to_74,177
households_with_no_adults_in_employment,0.371513128,55.01489362,39.54834437,41.63123209,Social,households_no_adults_in_employment,178
age_8_to_9,0.36809556,8.295744681,5.979801325,6.291690544,Demographic,people_age_8_to_9,179
age_16_to_17,0.367930804,9.35106383,6.741390728,7.092836676,Demographic,people_age_16_to_17,180
other_households_3_plus_adults_and_1_plus_children,0.366461973,7.282978723,5.256622517,5.529512894,Social,households_other_3_plus_adults_and_1_plus_children,181
cohabiting_couple_households_dependent_children,0.36146658,6.846808511,4.961589404,5.215472779,Social,households_cohabiting_couple_dependent_children,182
fair_health,0.358264821,49.51489362,35.97350993,37.79713467,Demographic,people_fair_health,183
age_10_to_14,0.353689336,21.97021277,16.0205298,16.8217765,Demographic,people_age_10_to_14,184
age_17,0.351637899,4.625531915,3.378476821,3.546418338,Demographic,people_age_17,185
females_NS_SeC_semi_routine,0.348625262,25.74893617,18.85264901,19.78137536,Economic,females_NS_SeC_semi_routine,186
females_ecominically_inactive,0.345399891,48.55744681,35.64503311,37.38395415,Economic,females_ecominically_inactive,187
not_living_in_couple_divorced_or_formerly_in_same_sex_civil_partnership,0.344023279,20.30425532,14.92152318,15.64641834,Social,people_not_living_in_couple_divorced_or_formerly_in_same_sex_civil_partnership,188
people_not_living_in_a_couple_divorced_or_formerly_in_a_same_sex_civil_partnership_which_is_now_legally_dissolved,0.344023279,20.30425532,14.92152318,15.64641834,Social,people_not_living_in_a_couple_divorced_or_formerly_in_a_same_sex_civil_partnership_which_is_now_legally_dissolved,189
age_14,0.343710381,4.521276596,3.323509934,3.484813754,Demographic,people_age_14,190
one_family_household_cohabiting_couple_dependent_children,0.343109807,6.427659574,4.727152318,4.956160458,Social,households_one_family_cohabiting_couple_dependent_children,191
people_ecominically_inactive,0.340673051,84.29148936,62.11357616,65.10028653,Economic,people_ecominically_inactive,192
males_ecominically_inactive,0.33429746,35.73404255,26.46854305,27.71633238,Economic,males_ecominically_inactive,193
age_15,0.331246761,4.576595745,3.398344371,3.557020057,Demographic,people_age_15,194
nationality_other_other,0.3303768,3.323404255,2.469536424,2.584527221,Demographic,people_nationality_other_other,195
age_95,0.326436673,0.212765957,0.158609272,0.165902579,Demographic,people_age_95,196
age_9,0.323231767,4.008510638,2.99602649,3.132378223,Demographic,people_age_9,197
females_industry_administrative_support,0.320905836,3.931914894,2.944370861,3.077363897,Economic,females_industry_administrative_support,198
lone_parent_full_time_employment,0.31903654,2.657446809,1.993046358,2.08252149,Social,households_lone_parent_full_time_employment,199
people_industry_administrative_support,0.313833696,8.970212766,6.756291391,7.054441261,Economic,people_industry_administrative_support,200
households_with_dependent_children_all_ages,0.31202866,45.28723404,34.16059603,35.65902579,Social,households_dependent_children_all_ages,201
age_13,0.31183442,4.370212766,3.297019868,3.441547278,Demographic,people_age_13,202
males_industry_administrative_support,0.30836145,5.038297872,3.81192053,3.977077364,Economic,males_industry_administrative_support,203
males_industry_transport_storage,0.306826695,6.719148936,5.090066225,5.309455587,Economic,males_industry_transport_storage,204
people_schoolchildren_and_full_time_students_age_16_to_17,0.30441041,7.927659574,6.017549669,6.2747851,Economic,people_schoolchildren_and_full_time_students_age_16_to_17,205
males_occupation_process_plant_machine_operatives,0.294459184,10.13191489,7.754304636,8.074498567,Economic,males_occupation_process_plant_machine_operatives,206
households_with_one_person_with_long_term_health_problem_or_disability_no_dependent_children,0.290383457,33.25744681,25.53940397,26.57879656,Social,households_one_person_long_term_health_problem_or_disability_no_dependent_children,207
people_occupation_process_plant_machine_operatives,0.288431082,11.1893617,8.606622517,8.954441261,Economic,people_occupation_process_plant_machine_operatives,208
females_occupation_skilled_trades,0.286511932,2.182978723,1.681788079,1.749283668,Economic,females_occupation_skilled_trades,209
female_lone_parent_full_time_employment,0.286166805,1.982978723,1.528145695,1.589398281,Social,households_female_lone_parent_full_time_employment,210
nationality_no_English,0.280592744,103.3234043,79.99569536,83.13724928,Demographic,people_nationality_no_English,211
people_highest_level_of_qualification_Level_1_qualifications,0.279222149,39.87234043,30.90562914,32.11318052,Economic,people_highest_level_of_qualification_Level_1_qualifications,212
males_in_employment_part_time,0.276686874,8.136170213,6.31986755,6.564469914,Economic,males_in_employment_part_time,213
age_11,0.274069493,4.09787234,3.190066225,3.312320917,Demographic,people_age_11,214
age_of_HRP_35_to_54_1_person_household,0.271824058,14.22340426,11.09337748,11.51489971,Social,people_age_of_HRP_35_to_54_1_person_household,215
males_occupation_caring_leisure_other_service,0.269148252,2.985106383,2.333443709,2.421203438,Economic,males_occupation_caring_leisure_other_service,216
1_family_only_household_cohabiting_couple_1_dependent_child,0.263683409,9.25106383,7.264900662,7.532378223,Social,households_1_family_only_cohabiting_couple_1_dependent_child,217
people_industry_transport_storage,0.261122818,8.110638298,6.383112583,6.615759312,Economic,people_industry_transport_storage,218
religion_other,0.260918959,1.95106383,1.535761589,1.591690544,Demographic,people_religion_other,219
1_family_only_households_cohabiting_couple_1_dependent_child,0.258312171,2.961702128,2.336423841,2.420630372,Social,people_1_family_only_households_cohabiting_couple_1_dependent_child,220
males_industry_water supply_sewerage_waste_management_remediation,0.254713104,1.108510638,0.877152318,0.908309456,Economic,males_industry_water supply_sewerage_waste_management_remediation,221
households_no_central_heating,0.246104182,3.59787234,2.867880795,2.966189112,Social,households_no_central_heating,222
1_person_households_other,0.24503982,29.42340426,23.47483444,24.27593123,Social,people_1_person_households_other,223
1_person_households_1_person_age_64_less,0.24503982,29.42340426,23.47483444,24.27593123,Social,households_1_person_1_person_age_64_less,224
1_person_household_other,0.24503982,29.42340426,23.47483444,24.27593123,Social,households_1_person_other,225
